,ticker,index,d_sameind,launch_order,CUSIP
689,IWP,Russell Mid Cap Growth TR USD,0,,46428748
690,IWR,Russell Mid Cap TR USD,0,,46428749
691,IWS,Russell Mid Cap Value TR USD,0,,46428747
692,IWV,Russell 3000 Index,1,1.0,46428768
693,IWX,Russell Top 200 Value TR USD,0,,46428942
694,IWY,Russell Top 200 Growth TR USD,0,,46428943
695,IXC,S&P Global 1200 Sec/Energy TR,0,,46428734
696,IXG,S&P Global 1200 Sec/Financials TR,0,,46428733
697,IXJ,S&P Global 1200 Sec/Health Care TR,0,,46428732
698,IXN,S&P Global 1200 Sec/Info Tech TR,0,,46428729
699,IXP,S&P Global 1200 Sec/Telecom Svcs TR USD,0,,46428727
700,IXSE,WisdomTree India ex-State-Owned Enterprises Index,0,,97717Y73
701,IXUS,MSCI ACWI Ex USA IMI NR USD,0,,46432F83
702,IYC,DJ US Consumer Svcs TR USD,0,,46428758
703,IYE,DJ US Oil&Gas TR USD,0,,46428779
704,IYF,DJ US Financial TR USD,0,,46428778
705,IYG,DJ US Financial Services TR USD,0,,46428777
706,IYH,DJ US Health Care TR USD,0,,46428776
707,IYJ,DJ US Industrials TR USD,0,,46428775
708,IYK,DJ US Consumer Goods TR USD,0,,46428781
709,IYM,DJ US Basic Materials TR USD,0,,46428783
710,IYT,DJ Transportation Average TR USD,0,,46428719
711,IYW,DJ US Technology TR USD,0,,46428772
712,IYY,DJ US TR USD,0,,46428784
713,IYZ,DJ US Select Telecom TR USD,0,,46428771
714,IZRL,ARK Israeli Innovation Index,0,,00214Q60
715,JCTR,JPMAM Carbon Transition US Equity Index,0,,46641Q28
716,JDIV,JP Morgan US Dividend Index,0,,46641Q79
717,JETS,U.S. Global Jets Index,0,,26922A84
718,JGLD,EQM Pure Junior Gold Miners Index,0,,03210883
719,JHCS,John Hancock Dimensional Media and Communications Index,0,,47804J82
720,JHEM,John Hancock Dimensional Emerging Markets Index,0,,47804J83
721,JHMA,John Hancock Dimensional Materials Index,0,,47804J80
722,JHMD,John Hancock Dimensional Developed International Index,0,,47804J85
723,JHME,John Hancock Dimensional Energy Index,0,,47804J70
724,JHMI,John Hancock Dimensional Industrials Index,0,,47804J88
