ticker,index_id,avg_net_expense_mer,avg_time_existence,avg_time_since_first,avg_aum_index,avg_lend_byaum_bps,avg_marketing_fee_bps,avg_other_expenses,avg_fee_waivers,avg_creation_fee,avg_stock_tweets,avg_ratio_tra,avg_highfee,avg_tr_error_bps,avg_perf_drag_bps,avg_d_uit,avg_mgr_duration_tii,avg_mgr_duration_tsi,avg_mgr_duration,avg_ratio_tii,avg_mer_bps,avg_mkt_share,avg_spread_bps_crsp,avg_turnover_frac,avg_qs_dollar_tw,avg_qs_percent_tw,avg_es_dollar_ave,avg_es_percent_ave,avg_rs_dollar_ave,avg_rs_percent_ave,avg_profit,log_avg_volume,log_avg_aum,log_avg_profit,log_avg_aum_index,avg_different_benchmarks,avg_different_lead_mm,avg_firstmover
KWEB,China Technology Sector,-.2105,4.875,.96586835,1826049024,10.406107,25,.10699999,-.067500003,500,-.070756808,.66791487,1,51.738224,-3.0955834,0,1.6355389,4.8717041,1.9847912,90.18998,71.949997,.77600563,7.1097817,9.6433954,.048287082,.0010425466,.024192791,.00053977181,.0097065382,.00023187311,10067902,17.866421,21.058603,16.124863,21.32542,1,1,0
MDY,S&P Midcap 400 Index,.1425,23.125,1.3410804,60172587008,0,0,.1425,0,3000,-.076193996,.12603919,1,10.624552,-1.0429674,1,3.1726093,6.9454889,4.251812,67.214203,24.25,.30004713,1.3623759,6.2185555,.072938628,.00022826158,.038291804,.00012157724,.0081485799,.000026018444,43758936,19.886183,23.61648,17.594206,24.820482,0,.85000002,1
MDYG,S&P Midcap 400 Growth Index,-.25,13.625,.9628818,8818679808,.70808965,25,0,0,1000,-.078292407,.079647169,0,10.531293,-.69015837,0,3.2241201,5.6488681,3.9707124,75.32045,15,.15907948,6.6037936,1.7514451,.078669362,.0012146105,.034281597,.00053179328,.026606144,.00041513998,2271899.8,16.192778,21.138418,14.636127,22.900139,0,.91666669,0
MDYV,S&P Midcap 400 Value Index,-.25,13.625,.8680951,6823147008,.70218641,25,0,0,1000,-.078373276,.050302546,0,15.452482,-1.6273807,0,2.7532818,5.5871668,4.5299883,35.580715,15,.15664205,7.9915128,2.3568347,.06164686,.0011354262,.027220894,.00050371664,.02226457,.00040957265,1753226.6,16.398825,20.879259,14.376968,22.643587,0,.91666669,0
NORW,MSCI Norway IMI 25/50 Index,0,6.625,.81225723,156895440,17.769695,0,0,0,1275,-.078589275,.059223335,0,29.814413,-1.1412309,0,4.4528341,2.3808954,4.3780465,95.605003,50,.82116765,18.671249,2.0222487,.039187983,.0032020689,.022256561,.001818581,.018237835,.001477603,638208.31,13.869133,18.664738,13.36642,18.87109,.41666666,0,1
PFF,Preferred Shares,0,11.375,1.3524306,21504421888,1.3581533,0,0,0,750,-.077426821,.12702635,0,32.7887,-1.7644012,0,3.1853449,6.1521449,3.4781804,85.340775,47,.76253122,3.2776515,2.0785682,.010501233,.00028279822,.0072286911,.00019502513,.0028490508,.000076200886,77034912,18.71015,23.519962,18.159769,23.791525,1,.75,1
PGX,Preferred Shares,.0074999998,10.375,1.1722326,21504421888,4.7414966,0,.0074999998,0,500,-.078133404,.078384951,1,22.786694,-.87271184,0,2.3332665,6.527595,2.8095434,80.620506,50.75,.23746878,7.3060422,1.7762235,.010339432,.00070729695,.0065909475,.00045190993,.0040373332,.00027576313,25974724,17.390467,22.355251,17.072634,23.791525,1,.75,0
PNQI,US Internet Sector,0,10.125,1.20267,7244318208,.90622282,0,0,0,500,-.077869996,.23539057,1,10.69901,-.7725777,0,2.2078516,6.822279,2.3226178,91.963989,60,.07269495,10.060889,1.8225927,.12777409,.0011271831,.075725295,.00067565555,.059175543,.00053332373,3109902.5,15.131316,20.066097,14.950102,22.703484,1,1,0
PPA,US Defense Sector,.1195,12.625,1.1819267,4448145408,.094664671,0,.1195,0,500,-.078086987,.17270504,1,9.7869148,-1.7855171,0,2.346164,5.8519077,2.7391438,79.514854,61.983334,.18672003,6.0241771,1.6556451,.050505109,.0010071212,.028526096,.00057751499,.021096703,.00043386177,4582280.5,15.334707,20.429619,15.337708,22.215754,1,.75,1
QQEW,NASDAQ-100 Equal Weighted Index,-.049999997,12.125,1.2060751,796131904,.079114936,25,.2,0,875,-.078030281,.15472248,1,9.6099377,-.91542554,0,2.2757633,6.4806886,2.3161192,87.352676,60,.78545088,6.8788238,1.5667615,.042252485,.00068285596,.023991406,.00040449592,.018151548,.00030461838,3720168.5,15.200273,20.245275,15.129279,20.495275,0,.94999999,1
